n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1064,Iteracao 1064,0.001957,0.0018,0.0018
1065,Iteracao 1065,0.004367,0.004,0.004
1066,Iteracao 1066,0.002098,0.0019,0.002
1067,Iteracao 1067,0.005765,0.0054,0.0054
1068,Iteracao 1068,0.008562,0.008,0.0079
1069,Iteracao 1069,0.002442,0.0022,0.0023
1070,Iteracao 1070,0.005345,0.005,0.0049
1071,Iteracao 1071,0.066968,0.0634,0.0643
1072,Iteracao 1072,0.003076,0.0027,0.0026
1073,Iteracao 1073,0.055265,0.0522,0.0526
1074,Iteracao 1074,0.028687,0.0268,0.0268
1075,Iteracao 1075,0.003184,0.0029,0.0029
1076,Iteracao 1076,0.014241,0.0132,0.0133
1077,Iteracao 1077,0.006142,0.0057,0.0057
1078,Iteracao 1078,0.002398,0.0023,0.0022
1079,Iteracao 1079,0.011036,0.0104,0.0103
1080,Iteracao 1080,0.002571,0.0023,0.0023
1081,Iteracao 1081,0.004087,0.0038,0.0038
1082,Iteracao 1082,0.002119,0.002,0.0019
1083,Iteracao 1083,0.002345,0.0021,0.0022
